t, ft, filtered ft Array, filtered ft Vector
3.02997,0.209898,0.204834,0.204834
3.03397,0.206802,0.190105,0.190105
3.03796,0.198132,0.178929,0.178929
3.04196,0.141298,0.164943,0.164943
3.04595,0.144824,0.151291,0.151291
3.04995,0.12805,0.137703,0.137703
3.05395,0.1256,0.116462,0.116462
3.05794,0.114334,0.107464,0.107464
3.06194,0.111681,0.083075,0.083075
3.06593,0.0494452,0.0781687,0.0781687
3.06993,0.0783159,0.0714362,0.0714362
3.07393,-0.0259012,0.046061,0.046061
3.07792,0.0937067,0.0342814,0.0342814
3.08192,0.078472,0.0267548,0.0267548
3.08591,-0.0632927,0.00637371,0.00637371
3.08991,0.0292236,-0.00420873,-0.00420873
3.09391,-0.00324102,-0.0225552,-0.0225552
3.0979,-0.0643515,-0.045653,-0.045653
3.1019,-0.0999783,-0.0443927,-0.0443927
3.10589,-0.0347187,-0.0772523,-0.0772523
3.10989,-0.0832124,-0.107781,-0.107781
3.11389,-0.0544707,-0.116021,-0.116021
3.11788,-0.200794,-0.123947,-0.123947
3.12188,-0.216939,-0.139384,-0.139384
3.12587,-0.122032,-0.149317,-0.149317
3.12987,-0.15546,-0.170208,-0.170208
3.13387,-0.142782,-0.168074,-0.168074
3.13786,-0.152745,-0.165168,-0.165168
3.14186,-0.200703,-0.177265,-0.177265
3.14585,-0.185855,-0.186462,-0.186462
3.14985,-0.1966,-0.197063,-0.197063
3.15385,-0.206712,-0.210212,-0.210212
3.15784,-0.219834,-0.20585,-0.20585
3.16184,-0.216991,-0.204771,-0.204771
3.16583,-0.244788,-0.206907,-0.206907
3.16983,-0.17017,-0.216835,-0.216835
3.17383,-0.178302,-0.218329,-0.218329
3.17782,-0.211549,-0.217648,-0.217648
3.18182,-0.276211,-0.204454,-0.204454
3.18581,-0.230292,-0.197667,-0.197667
3.18981,-0.212221,-0.184138,-0.184138
3.19381,-0.152433,-0.181336,-0.181336
3.1978,-0.122662,-0.16578,-0.16578
3.2018,-0.0836011,-0.163403,-0.163403
3.20579,-0.191931,-0.161099,-0.161099
3.20979,-0.167319,-0.15302,-0.15302
3.21379,-0.213651,-0.148645,-0.148645
3.21778,-0.196098,-0.141365,-0.141365
3.22178,-0.0958793,-0.125667,-0.125667
3.22577,-0.0920331,-0.108715,-0.108715
3.22977,-0.0326437,-0.0797556,-0.0797556
3.23377,-0.0820457,-0.0537828,-0.0537828
3.23776,-0.0486554,-0.0403183,-0.0403183
3.24176,-0.0109343,-0.0254497,-0.0254497
3.24575,-0.0142877,-0.019438,-0.019438
3.24975,-0.00162839,-0.00234708,-0.00234708
3.25375,0.0120472,0.0163923,0.0163923
3.25774,0.00943823,0.021201,0.021201
3.26174,0.0375908,0.0277185,0.0277185
3.26573,0.0825204,0.046027,0.046027
3.26973,0.0227267,0.0654775,0.0654775
3.27373,0.0313342,0.0887623,0.0887623
3.27772,0.126531,0.100475,0.100475
3.28172,0.148201,0.0980044,0.0980044
3.28571,0.172431,0.127401,0.127401
3.28971,0.119579,0.150043,0.150043
3.29371,0.0652277,0.16225,0.16225
3.2977,0.228503,0.170099,0.170099
3.3017,0.189827,0.181089,0.181089
3.30569,0.211978,0.196322,0.196322
3.30969,0.203147,0.206742,0.206742
3.31369,0.249364,0.194769,0.194769
3.31768,0.22621,0.189415,0.189415
3.32168,0.138166,0.184583,0.184583
3.32567,0.144694,0.179441,0.179441
3.32967,0.152347,0.16947,0.16947
3.33367,0.178154,0.163065,0.163065
3.33766,0.167156,0.168939,0.168939
3.34166,0.179561,0.173053,0.173053
3.34565,0.181378,0.172441,0.172441
3.34965,0.179286,0.166051,0.166051
3.35365,0.173489,0.164302,0.164302
3.35764,0.148065,0.155231,0.155231
3.36164,0.133424,0.142105,0.142105
3.36563,0.154913,0.127541,0.127541
3.36963,0.116065,0.112019,0.112019
3.37363,0.0894952,0.109248,0.109248
3.37762,0.0773356,0.110763,0.110763
3.38162,0.0648368,0.10418,0.10418
3.38561,0.128668,0.10415,0.10415
3.38961,0.144025,0.0993284,0.0993284
3.39361,0.108835,0.093605,0.093605
3.3976,0.115858,0.0953853,0.0953853
3.4016,0.0557411,0.0748994,0.0748994
3.40559,0.0372714,0.0550819,0.0550819
3.40959,0.0772996,0.037912,0.037912
3.41359,-0.0147337,0.0233613,0.0233613
3.41758,0.00530188,0.0166311,0.0166311
3.42158,-0.011354,-0.0020639,-0.0020639
3.42557,0.0140028,-0.0242885,-0.0242885
3.42957,0.00862958,-0.0337038,-0.0337038
3.43357,-0.0935934,-0.0470945,-0.0470945
3.43756,-0.0782724,-0.0603948,-0.0603948
3.44156,-0.0806412,-0.0774476,-0.0774476
3.44555,-0.0884331,-0.0959951,-0.0959951
3.44955,-0.104456,-0.0973743,-0.0973743
3.45355,-0.105367,-0.100843,-0.100843
